"version","checked_on","next_review_due","country","iso2","suggested_days_min","suggested_days_max","buffer_days","gateway_city","gateway_iata_codes","gateway_note","route_intensity_editorial","seasonality_note","signature_experience_1","signature_experience_2","official_tourism_url","official_entry_url","status","operational_note","seasonality_source_ids","gateway_source_ids","experience_source_ids","tourism_source_ids","entry_source_id","operational_alert_source_ids","canonical_dataset_url","license"
"1.1","2026-08-02","2026-11-02","Argentina","AR","18","24","0","Buenos Aires","EZE;AEP","Buenos Aires: EZE for most international arrivals; AEP for many domestic sectors","High","Summer suits Patagonian lakes, mountains and glaciers; winter suits the north and snow sports; spring and autumn work well for Buenos Aires, Iguazú and central routes.","Buenos Aires and Iguazú Falls","Patagonia and Los Glaciares","https://www.argentina.travel/en","https://www.argentina.gob.ar/migraciones/documentacion-para-ingresar-al-pais-como-turista","reviewed","Suggested days and route intensity are VisaAdvisor editorial judgments.","AR-01","","AR-02","AR-02","AR-03","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Bolivia","BO","10","14","0","Santa Cruz; La Paz/El Alto","VVI;LPB","Santa Cruz: VVI; La Paz/El Alto: LPB for an Andes-first route","High","The official general planning window is the drier April-October period, but conditions differ between the high-altitude Andes and the tropical lowlands.","Salar de Uyuni and coloured lagoons","Tiwanaku and Lake Titicaca","https://boliviatravel.gob.bo/","https://cancilleria.gob.bo/mre/servicios/","reviewed","Suggested days and route intensity are VisaAdvisor editorial judgments.","BO-01","BO-02","","BO-01","BO-03","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Brazil","BR","14","21","0","São Paulo","GRU","Sao Paulo: GRU","High","There is no single national season. The Amazon is hot and humid year-round; the northeast coast is warm most of the year; May-September is a strong official window for Pantanal wildlife; the south is cooler in winter.","Rio de Janeiro","Iguaçu Falls","https://www.visitbrasil.com/en/","https://www.gov.br/pt-br/servicos/obter-visto-para-viajar-ao-brasil","reviewed","A first trip should normally select two or three regions rather than attempt national coverage.","BR-01|BR-02","BR-03","","BR-01","BR-04","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Chile","CL","14","21","0","Santiago","SCL","Santiago: SCL","High","Timing is regional: April-June is an official sweet spot for San Pedro de Atacama; December-March usually gives longer days for Patagonia and the Carretera Austral.","San Pedro de Atacama","Torres del Paine","https://chile.travel/en/","https://serviciomigraciones.cl/en/permanencia-transitoria-permit/subcategories/tourists/","reviewed","Suggested days and route intensity are VisaAdvisor editorial judgments.","CL-01|CL-02","CL-03","CL-01|CL-02","CL-01|CL-02","CL-04","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Colombia","CO","10","14","0","Bogotá","BOG","Bogota: BOG","Moderate-High","December-March and July-August are often drier in major Andean and Caribbean routes. The Pacific is wet year-round; Amazon conditions change between higher-water and relatively drier periods.","Cartagena and the Caribbean","the Coffee Cultural Landscape","https://colombia.travel/en","https://www.cancilleria.gov.co/atencion-y-servicio-al-ciudadano/tramites-y-servicios/visa/necesito-un-visa","reviewed","Seasonality must be checked against the selected region rather than treated as a national guarantee.","CO-01","","CO-02","CO-01|CO-02","CO-03","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Ecuador","EC","10","14","0","Quito; Guayaquil","UIO;GYE","Quito: UIO; Guayaquil: GYE for some coast and Galapagos routes","Moderate-High","June-August is a strong Andean planning window. Galapagos works year-round: December-May is warmer, while June-November is cooler with different marine conditions.","Galapagos wildlife","Quito with Cotopaxi or Quilotoa","https://ecuador.travel/en/","https://www.cancilleria.gob.ec/2020/06/15/visas-en-el-ecuador/","reviewed","The 10-14-day suggestion assumes mainland Ecuador plus Galapagos; a mainland-only trip can be shorter.","EC-02","EC-03","EC-01|EC-02","EC-01","EC-04","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Guyana","GY","7","10","0","Georgetown","GEO;OGL","Georgetown: GEO; OGL for many domestic connections","Expedition","Practical dry-season overlap is mid-January to early May and September to mid-November. Wet periods make roads harder but can strengthen waterfall and river experiences.","Kaieteur Falls","Iwokrama and the Rupununi","https://guyanatourism.com/","https://minfor.gov.gy/visa-information","reviewed","Interior travel commonly uses a combination of small aircraft, boats, roads and licensed operators.","GY-01","GY-02","","GY-01","GY-03","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Paraguay","PY","6","9","0","Asunción","ASU","Asuncion: ASU; land borders carry most visitor arrivals","Moderate","Plan around heat tolerance and region: summer is commonly 25-35 C and can be hotter in the Chaco; winter is usually 10-20 C and may be cooler in the south.","Jesuit Route","Chaco and the Natural Route","https://visitparaguay.travel/","https://migraciones.gov.py/entrada-y-salida-del-pais/requerimientos-migratorios-de-ingreso-y-salida-del-paraguay/","reviewed","The gateway field notes the main airport but does not imply that most visitors arrive by air.","PY-01","PY-02","","PY-01","PY-03","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Peru","PE","14","18","0","Lima","LIM","Lima: LIM","High","Peru has no single season. April-October is the official recommended window for Cusco and Machu Picchu; the coast and Amazon follow different climate patterns.","Machu Picchu and the Sacred Valley","Lima's culinary scene","https://www.peru.travel/en","https://www.gob.pe/en/institucion/migraciones/campa%C3%B1as/64003-informacion-fundamental-para-turistas-en-peru","reviewed","Suggested days allow Lima, Cusco and one additional region.","PE-01|PE-02","PE-03","PE-02","PE-01","PE-04","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","2026-08-02","2026-11-02","Suriname","SR","7","10","0","Paramaribo/Zanderij","PBM","Paramaribo/Zanderij: PBM","Expedition","February-April and mid-August-November are officially described as relatively drier windows. Rain can occur year-round and the timing of seasons can vary.","Historic Paramaribo","a river and rainforest journey into the interior","https://www.surinametourism.sr/","https://gov.sr/ministeries/ministerie-van-buitenlandse-zaken-internationale-handel-samenwerking/reizen-naar-suriname/","reviewed","Use licensed operators and describe Maroon and Indigenous communities with respect and context.","SR-01|SR-03","SR-02","","SR-01","SR-04","","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
