term_id,canonical_en,canonical_ar,definition_en,usage_note
TERM-001,jurisdiction,نطاق قضائي,"A state, territory, or special administrative area with distinct rules","Use internally; public pages may use country or destination as appropriate"
TERM-002,visa exemption,إعفاء من التأشيرة,"No traditional visa is required for the scoped visit","Does not mean document-free or guaranteed admission"
TERM-003,electronic travel authorisation,تصريح سفر إلكتروني,"Pre-travel electronic permission that is not a traditional visa","Keep distinct from eVisa"
TERM-004,eVisa,تأشيرة إلكترونية,"A visa applied for or issued electronically","Do not translate as ETA"
TERM-005,visa on arrival,تأشيرة عند الوصول,"A visa process completed at the border or arrival point","May still require preconditions"
TERM-006,maximum stay,الحد الأقصى للإقامة,"Published upper limit for a stay under a rule","Not the same as authorisation validity or period actually granted"
TERM-007,authorisation validity,صلاحية الموافقة,"Period during which an approval may be used","Not the same as permitted stay"
TERM-008,passport validity,صلاحية جواز السفر,"Required remaining validity of the travel document","State whether measured from arrival departure or intended stay"
TERM-009,onward ticket,تذكرة متابعة السفر,"Evidence of travel to a subsequent destination","Keep distinct from return ticket"
TERM-010,proof of funds,إثبات الأموال,"Evidence of sufficient resources for the visit","Record amount currency period and discretion when official"
TERM-011,verified as of,تم التحقق حتى تاريخ,"The record was checked on a stated date","Not a guarantee that it remains current"
TERM-012,editorial judgment,حكم تحريري,"A labelled planning or explanatory judgment by VisaAdvisor","Never present as a government recommendation"
TERM-013,official-source synthesis,تلخيص لمصادر رسمية,"A faithful compression of one or more official sources","Cite every material input"
TERM-014,provisional,مؤقت,"Evidence exists but review or conflict resolution is incomplete","Show the limitation visibly"
TERM-015,disputed,متعارض,"Authoritative evidence cannot yet be reconciled","Withhold definitive guidance"
TERM-016,freshness status,حالة حداثة البيانات,"Current due stale or expired state derived from review policy","Expose on public high-stakes records"
