"source_id","source_dataset_id","place_id","source_title","source_organization","source_type","source_role","field_type","evidence_scope","url","checked_on","next_review_due","volatility_class","authority_tier","automation_eligible","update_boundary","notes"
"SRC-EG-SRC-01","DSET-EG-PASS-2026-V13","PLC-KE","Kenya eTA — General Information","","official government or operational source","مصدر حكومي أساسي","entry","إعفاء مصر من eTA حتى 60 يومًا ومتطلبات الجواز","https://etakenya.go.ke/general-information","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-02","DSET-EG-PASS-2026-V13","PLC-MO","Immigration Clearance of Non-residents of Macao","","official government or operational source","مصدر حكومي أساسي","entry","إعفاء مصر ومدة الإقامة حتى 90 يومًا وقاعدة صلاحية الجواز","https://www.gov.mo/en/services/ps-1474/ps-1474b/","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-03","DSET-EG-PASS-2026-V13","PLC-SC","Visiting Seychelles","","official government or operational source","مصدر حكومي أساسي","entry","شروط الدخول والتذكرة والسكن والأموال وصلاحية الجواز","https://www.ics.gov.sc/visa-and-travel/visiting-seychelles","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-04","DSET-EG-PASS-2026-V13","PLC-SC","Visitors Permit","","official government or operational source","مصدر حكومي داعم","entry","مدة تصريح الزائر الأولي ورسومه","https://www.ics.gov.sc/permits/visitors-permit","2026-07-26","2026-08-25","V3_REGULATORY","B_OFFICIAL_OPERATIONAL","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-05","DSET-EG-PASS-2026-V13","PLC-RW","Visa on Arrival","","official government or operational source","مصدر حكومي أساسي","entry","تأشيرة الوصول المجانية لمواطني الاتحاد الأفريقي لمدة 30 يومًا","https://www.migration.gov.rw/visa-on-arrival","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-06","DSET-EG-PASS-2026-V13","PLC-RW","Visitors Visa","","official government or operational source","مصدر حكومي داعم","entry","صلاحية الجواز وفئة الزيارة والرسوم","https://www.migration.gov.rw/visa/visitors-visa","2026-07-26","2026-08-25","V3_REGULATORY","B_OFFICIAL_OPERATIONAL","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-07","DSET-EG-PASS-2026-V13","PLC-MV","Tourist Visa — On Arrival","","official government or operational source","مصدر حكومي أساسي","entry","التأشيرة عند الوصول وIMUGA والحجز المدفوع وصلاحية الجواز","https://www.immigration.gov.mv/visa/tourist-visa","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-08","DSET-EG-PASS-2026-V13","PLC-MV","IMUGA Traveller Declaration","","official government or operational source","بوابة حكومية تشغيلية","entry","بوابة إقرار المسافر الرسمية","https://imuga.immigration.gov.mv/traveller","2026-07-26","2026-08-25","V3_REGULATORY","B_OFFICIAL_OPERATIONAL","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-09","DSET-EG-PASS-2026-V13","PLC-TZ","Tanzania eVisa Guidelines","","official government or operational source","مصدر حكومي أساسي","entry","أهلية مصر، الرسوم، الصلاحية، ومتطلبات التأشيرة العادية","https://visa.immigration.go.tz/guidelines","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-10","DSET-EG-PASS-2026-V13","PLC-TZ","Tanzania eVisa Terms and Conditions","","official government or operational source","مصدر حكومي داعم","entry","صلاحية الجواز والصفحة الفارغة وقواعد التقديم","https://visa.immigration.go.tz/termsandconditions","2026-07-26","2026-08-25","V3_REGULATORY","B_OFFICIAL_OPERATIONAL","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-11","DSET-EG-PASS-2026-V13","PLC-LK","Sri Lanka ETA Fees and Application","","official government or operational source","مصدر حكومي أساسي","entry","رسوم ETA ومدة 30 يومًا ودخولان","https://www.eta.gov.lk/slvisa/visainfo/fees.jsp?locale=en_US","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SRC-12","DSET-EG-PASS-2026-V13","PLC-UG","Uganda Tourist Visa — Single Entry","","official government or operational source","مصدر حكومي أساسي","entry","الرسوم، المدة، صلاحية خطاب الموافقة، والمتطلبات","https://www.immigration.go.ug/services/tourist-visa","2026-07-26","2026-08-25","V3_REGULATORY","A_CONTROLLING_OR_PRIMARY","true","report_only","Imported from Egyptian Passport Entry Rules v13 source registry."
"SRC-EG-SUP-LK-01","DSET-EG-PASS-2026-V13","PLC-LK","Supplemental official route source for EGY-LKA-2026","","official government or operational source","supplemental route-level source","entry","Secondary operational detail cited by EGY-LKA-2026","https://www.eta.gov.lk/slvisa/visainfo/apply.jsp?app=current&locale=en_US","2026-07-26","2026-08-25","V3_REGULATORY","B_OFFICIAL_OPERATIONAL","true","report_only","Present in the v13 route table but omitted from the v13 source registry; preserved without upgrading evidence status."
"SRC-EG-SUP-UG-01","DSET-EG-PASS-2026-V13","PLC-UG","Supplemental official route source for EGY-UGA-2026","","official government or operational source","supplemental route-level source","entry","Secondary operational detail cited by EGY-UGA-2026","https://www.immigration.go.ug/index.php/mandatory-online-visa-applications-all-visa-prone-travellers-uganda","2026-07-26","2026-08-25","V3_REGULATORY","B_OFFICIAL_OPERATIONAL","true","report_only","Present in the v13 route table but omitted from the v13 source registry; preserved without upgrading evidence status."
