"place_id","iso2","name_en","name_ar","place_type","parent_place_id","region_en","region_ar","coverage_status","last_verified","next_review_due","source_dataset_id","notes"
"PLC-AR","AR","Argentina","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-BO","BO","Bolivia","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-BR","BR","Brazil","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-CL","CL","Chile","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-CO","CO","Colombia","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-EC","EC","Ecuador","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-EG","EG","Egypt","مصر","sovereign_country","","","","identity_only","2026-07-26","2027-07-26","DSET-EG-PASS-2026-V13","Added as the passport-origin jurisdiction; geography fields are not asserted by the source release."
"PLC-GY","GY","Guyana","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-KE","KE","Kenya","كينيا","sovereign_country","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-LK","LK","Sri Lanka","سريلانكا","sovereign_country","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-MO","MO","Macao","ماكاو","special_administrative_region","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-MV","MV","Maldives","جزر المالديف","sovereign_country","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-PE","PE","Peru","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-PY","PY","Paraguay","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-RW","RW","Rwanda","رواندا","sovereign_country","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-SC","SC","Seychelles","سيشل","sovereign_country","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-SR","SR","Suriname","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-TZ","TZ","Tanzania","تنزانيا","sovereign_country","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-UG","UG","Uganda","أوغندا","sovereign_country","","","","identity_only","2026-07-26","2026-08-25","DSET-EG-PASS-2026-V13","Added as an entry-rule destination; country basics are not yet populated."
"PLC-UY","UY","Uruguay","","sovereign_country","","South America","أمريكا الجنوبية","partial_verified","2026-08-02","2026-11-02","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
"PLC-VE","VE","Venezuela","","sovereign_country","","South America","أمريكا الجنوبية","provisional","2026-08-02","2026-08-09","DSET-SA-2026-V1-1","Identity and planning seed only; capital, language, currency and timezone are not yet populated."
