"planning_profile_id","place_id","source_dataset_id","version","checked_on","next_review_due","suggested_days_min_editorial","suggested_days_max_editorial","buffer_days_editorial","gateway_city_editorial","gateway_iata_codes","gateway_note","route_intensity_editorial","seasonality_note","signature_experience_1_editorial","signature_experience_2_editorial","official_tourism_url","official_entry_url","review_status","operational_note"
"PLAN-AR-V1-1","PLC-AR","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","18","24","0","Buenos Aires","EZE;AEP","Buenos Aires: EZE for most international arrivals; AEP for many domestic sectors","High","Summer suits Patagonian lakes, mountains and glaciers; winter suits the north and snow sports; spring and autumn work well for Buenos Aires, Iguazú and central routes.","Buenos Aires and Iguazú Falls","Patagonia and Los Glaciares","https://www.argentina.travel/en","https://www.argentina.gob.ar/migraciones/documentacion-para-ingresar-al-pais-como-turista","reviewed","Suggested days and route intensity are VisaAdvisor editorial judgments."
"PLAN-BO-V1-1","PLC-BO","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","10","14","0","Santa Cruz; La Paz/El Alto","VVI;LPB","Santa Cruz: VVI; La Paz/El Alto: LPB for an Andes-first route","High","The official general planning window is the drier April-October period, but conditions differ between the high-altitude Andes and the tropical lowlands.","Salar de Uyuni and coloured lagoons","Tiwanaku and Lake Titicaca","https://boliviatravel.gob.bo/","https://cancilleria.gob.bo/mre/servicios/","reviewed","Suggested days and route intensity are VisaAdvisor editorial judgments."
"PLAN-BR-V1-1","PLC-BR","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","14","21","0","São Paulo","GRU","Sao Paulo: GRU","High","There is no single national season. The Amazon is hot and humid year-round; the northeast coast is warm most of the year; May-September is a strong official window for Pantanal wildlife; the south is cooler in winter.","Rio de Janeiro","Iguaçu Falls","https://www.visitbrasil.com/en/","https://www.gov.br/pt-br/servicos/obter-visto-para-viajar-ao-brasil","reviewed","A first trip should normally select two or three regions rather than attempt national coverage."
"PLAN-CL-V1-1","PLC-CL","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","14","21","0","Santiago","SCL","Santiago: SCL","High","Timing is regional: April-June is an official sweet spot for San Pedro de Atacama; December-March usually gives longer days for Patagonia and the Carretera Austral.","San Pedro de Atacama","Torres del Paine","https://chile.travel/en/","https://serviciomigraciones.cl/en/permanencia-transitoria-permit/subcategories/tourists/","reviewed","Suggested days and route intensity are VisaAdvisor editorial judgments."
"PLAN-CO-V1-1","PLC-CO","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","10","14","0","Bogotá","BOG","Bogota: BOG","Moderate-High","December-March and July-August are often drier in major Andean and Caribbean routes. The Pacific is wet year-round; Amazon conditions change between higher-water and relatively drier periods.","Cartagena and the Caribbean","the Coffee Cultural Landscape","https://colombia.travel/en","https://www.cancilleria.gov.co/atencion-y-servicio-al-ciudadano/tramites-y-servicios/visa/necesito-un-visa","reviewed","Seasonality must be checked against the selected region rather than treated as a national guarantee."
"PLAN-EC-V1-1","PLC-EC","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","10","14","0","Quito; Guayaquil","UIO;GYE","Quito: UIO; Guayaquil: GYE for some coast and Galapagos routes","Moderate-High","June-August is a strong Andean planning window. Galapagos works year-round: December-May is warmer, while June-November is cooler with different marine conditions.","Galapagos wildlife","Quito with Cotopaxi or Quilotoa","https://ecuador.travel/en/","https://www.cancilleria.gob.ec/2020/06/15/visas-en-el-ecuador/","reviewed","The 10-14-day suggestion assumes mainland Ecuador plus Galapagos; a mainland-only trip can be shorter."
"PLAN-GY-V1-1","PLC-GY","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","7","10","0","Georgetown","GEO;OGL","Georgetown: GEO; OGL for many domestic connections","Expedition","Practical dry-season overlap is mid-January to early May and September to mid-November. Wet periods make roads harder but can strengthen waterfall and river experiences.","Kaieteur Falls","Iwokrama and the Rupununi","https://guyanatourism.com/","https://minfor.gov.gy/visa-information","reviewed","Interior travel commonly uses a combination of small aircraft, boats, roads and licensed operators."
"PLAN-PY-V1-1","PLC-PY","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","6","9","0","Asunción","ASU","Asuncion: ASU; land borders carry most visitor arrivals","Moderate","Plan around heat tolerance and region: summer is commonly 25-35 C and can be hotter in the Chaco; winter is usually 10-20 C and may be cooler in the south.","Jesuit Route","Chaco and the Natural Route","https://visitparaguay.travel/","https://migraciones.gov.py/entrada-y-salida-del-pais/requerimientos-migratorios-de-ingreso-y-salida-del-paraguay/","reviewed","The gateway field notes the main airport but does not imply that most visitors arrive by air."
"PLAN-PE-V1-1","PLC-PE","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","14","18","0","Lima","LIM","Lima: LIM","High","Peru has no single season. April-October is the official recommended window for Cusco and Machu Picchu; the coast and Amazon follow different climate patterns.","Machu Picchu and the Sacred Valley","Lima's culinary scene","https://www.peru.travel/en","https://www.gob.pe/en/institucion/migraciones/campa%C3%B1as/64003-informacion-fundamental-para-turistas-en-peru","reviewed","Suggested days allow Lima, Cusco and one additional region."
"PLAN-SR-V1-1","PLC-SR","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","7","10","0","Paramaribo/Zanderij","PBM","Paramaribo/Zanderij: PBM","Expedition","February-April and mid-August-November are officially described as relatively drier windows. Rain can occur year-round and the timing of seasons can vary.","Historic Paramaribo","a river and rainforest journey into the interior","https://www.surinametourism.sr/","https://gov.sr/ministeries/ministerie-van-buitenlandse-zaken-internationale-handel-samenwerking/reizen-naar-suriname/","reviewed","Use licensed operators and describe Maroon and Indigenous communities with respect and context."
"PLAN-UY-V1-1","PLC-UY","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-11-02","7","10","0","Montevideo","MVD","Montevideo: MVD","Moderate","December-February is the coastal summer peak; southern right whales are commonly promoted from July-October; grape harvest experiences concentrate in February-March.","Historic Colonia del Sacramento","Cabo Polonio and the Atlantic coast","https://uruguaynatural.com/en/","https://www.gub.uy/ministerio-interior/comunicacion/publicaciones/regimen-visas-admision","reviewed","Montevideo and Colonia work year-round; the coast, whales and harvest are month-specific choices."
"PLAN-VE-V1-1","PLC-VE","DSET-SA-2026-V1-1","1.1","2026-08-02","2026-08-09","10","14","2","Caracas/Maiquetía","CCS","Caracas/Maiquetia: CCS is normally the main gateway; verify current operating airport before booking","High","Canaima is generally drier January-March and wetter April-December; Los Roques is comparatively dry. Current transport operations override normal seasonal planning.","Canaima and Angel Falls","Los Roques","https://www.mintur.gob.ve/","https://mppre.gob.ve/index.php/detalle_turismo/4-requisitos-migratorios-para-viajar-a-venezuela-como-turista","provisional_alert","State reporting checked 2 August cited NOTAM CO765/26 for a technical closure through 22 August and a provisional progressive commercial restart planned for 24 August. Recheck the airport and airline immediately before planning; the date is not a guarantee."
