"version","source_id","country","field_type","field_supported","source_organization","source_type","url","checked_on","next_review_due","time_sensitivity","note","dataset_url","license"
"1.1","AR-01","Argentina","seasonality","seasonality and regional planning","Instituto Nacional de Promocion Turistica","official tourism","https://www.argentina.travel/en/about-argentina","2026-08-02","2026-11-02","standard","Supports region-specific timing rather than one national best season.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","AR-02","Argentina","tourism_portal","tourism planning","Instituto Nacional de Promocion Turistica","official tourism","https://www.argentina.travel/en","2026-08-02","2026-11-02","standard","National destination portal.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","AR-03","Argentina","entry","entry documents","Direccion Nacional de Migraciones","government immigration","https://www.argentina.gob.ar/migraciones/documentacion-para-ingresar-al-pais-como-turista","2026-08-02","2026-11-02","standard","Nationality and document rules must be checked before booking.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","BO-01","Bolivia","seasonality","seasonality and traveller preparation","Bolivia Travel","official tourism","https://boliviatravel.gob.bo/recomendaciones/","2026-08-02","2026-11-02","standard","Supports the April-October general window and regional preparation.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","BO-02","Bolivia","gateway","main international gateway","NAABOL","government airport authority","https://naabol.gob.bo/aeropuerto-internacional-de-viru-viru/","2026-08-02","2026-11-02","standard","Describes Viru Viru as the principal intercontinental connection centre.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","BO-03","Bolivia","entry","visa process","Ministry of Foreign Affairs","government foreign affairs","https://cancilleria.gob.bo/mre/servicios/","2026-08-02","2026-11-02","standard","Official consular-services page; visa requirements and issuance must be confirmed with the responsible Bolivian mission.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","BR-01","Brazil","seasonality","regional climate","Visit Brasil","official tourism","https://www.visitbrasil.com/en/info/climate-and-weather/","2026-08-02","2026-11-02","standard","Supports the absence of a single national season.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","BR-02","Brazil","seasonality","regional timing","Ministry of Tourism","government tourism","https://www.gov.br/turismo/pt-br/assuntos/ultimas-noticia/viajando-na-epoca-certa/","2026-08-02","2026-11-02","standard","Includes the May-September Pantanal window.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","BR-03","Brazil","gateway","main gateway","Ministry of Ports and Airports","government aviation","https://www.gov.br/portos-e-aeroportos/pt-br/assuntos/noticias/2025/12/aeroporto-internacional-de-guarulhos-tem-novo-plano-de-investimentos-no-valor-de-r-2-5-bilhoes","2026-08-02","2026-11-02","standard","Identifies GRU as the country's largest airport and main foreign-tourist gateway.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
"1.1","BR-04","Brazil","entry","entry and visa","Federal Government of Brazil","government consular","https://www.gov.br/pt-br/servicos/obter-visto-para-viajar-ao-brasil","2026-08-02","2026-11-02","standard","Official visa service page.","https://visaadvisor.ai/south-america-travel-planning-index-2026/","https://creativecommons.org/licenses/by/4.0/"
