"evidence_edge_id","record_type","record_id","field_name","claim_kind","source_id","evidence_role","confidence_label","source_dataset_id","notes"
"EVD-EG-EGY-KEN-2026-PRI","entry_rule","EGY-KEN-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-01","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
"EVD-EG-EGY-LKA-2026-PRI","entry_rule","EGY-LKA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-11","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
"EVD-EG-EGY-LKA-2026-SUP","entry_rule","EGY-LKA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SUP-LK-01","supporting","corroborated","DSET-EG-PASS-2026-V13","Supporting or operational source retained from v13."
"EVD-EG-EGY-MAC-2026-PRI","entry_rule","EGY-MAC-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-02","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
"EVD-EG-EGY-MDV-2026-PRI","entry_rule","EGY-MDV-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-07","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
"EVD-EG-EGY-MDV-2026-SUP","entry_rule","EGY-MDV-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-08","supporting","corroborated","DSET-EG-PASS-2026-V13","Supporting or operational source retained from v13."
"EVD-EG-EGY-RWA-2026-PRI","entry_rule","EGY-RWA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-05","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
"EVD-EG-EGY-RWA-2026-SUP","entry_rule","EGY-RWA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-06","supporting","corroborated","DSET-EG-PASS-2026-V13","Supporting or operational source retained from v13."
"EVD-EG-EGY-SYC-2026-PRI","entry_rule","EGY-SYC-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-03","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
"EVD-EG-EGY-SYC-2026-SUP","entry_rule","EGY-SYC-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-04","supporting","corroborated","DSET-EG-PASS-2026-V13","Supporting or operational source retained from v13."
"EVD-EG-EGY-TZA-2026-PRI","entry_rule","EGY-TZA-2026","legacy_entry_rule_bundle","official_source_synthesis","SRC-EG-SRC-09","primary","authoritative","DSET-EG-PASS-2026-V13","Legacy bundle pending atomic split of stay, validity, fees, and requirements."
